Topic,Count,Name,Representation,Representative_Docs
10,551,10_mattress_bed_uncomfortable_hard,"['mattress', 'bed', 'uncomfortable', 'hard', 'soft', 'comfortable', 'beds', 'firm', 'pillows', 'bed little', 'sleep', 'sofa', 'sofa bed', 'bed uncomfortable', 'bed hard']","['bed was a little too firm for a comfortable nights sleep', 'hard bed sofa bed uncomfortable', 'the mattress could do with being replaced it was not that comfortable']"
11,550,11_card_credit_credit card_deposit,"['card', 'credit', 'credit card', 'deposit', 'payment', 'account', 'cash', 'charged', 'pay', 'bank', 'money', '50', 'paid', 'booking', 'check']","['payment procedure payment for the room was hold on the credit card while the hotel charged the card once more when money were not back on the card it was necessary to pay with another card and have the amount available again in 1 week very inconvenient', 'i paid 100euros as a deposit using my credit card i have checked out for 4 days but i still not receive the deposit back to my account yet', 'taking payment from my credit card before i even arrived']"
12,537,12_breakfast_included_breakfast included_price,"['breakfast', 'included', 'breakfast included', 'price', 'expensive', 'price breakfast', 'breakfast expensive', 'included price', 'expensive breakfast', 'euros', 'value', 'breakfast price', 'cafe', 'priced', 'thought']","['nothing except it would have been good to have had breakfast included in the price', 'not much perhaps breakfast could have been included', 'for the price breakfast could have been included even if not availed of']"
13,495,13_view_room view_view room_balcony,"['view', 'room view', 'view room', 'balcony', 'window', 'views', 'city view', 'wall', 'building', 'view window', 'river', 'room', 'floor', 'looking', 'courtyard']","['i had to choose between small room with a view or a big room and no view', 'can only get a view if you get a room that has one it would be nice for a high floor to provide a view', 'view from my room but i could of paid and had a better view']"
14,479,14_star_star hotel_stars_hotel,"['star', 'star hotel', 'stars', 'hotel', 'stars hotel', 'hotel star', 'rooms', 'hotel stars', 'rating', 'like star', 'old', 'standard', 'definitely', 'like', 'small']","['very outdated hotel it is definitely not a 4 star hotel but rather a 2 star hotel', 'it is more a 3 star hotel once it was a 4 star in 1976 but nothing really changed since then it got the minimum maintenance which is needed but definitely cries for a huge refurbish if you are looking for a real 4 star look elsewhere', 'they charge people for 4 star hotel which is not deserv have even 3 stars']"
15,454,15_city_far_center_location,"['city', 'far', 'center', 'location', 'metro', 'bit far', 'city center', 'far city', 'centre', 'station', 'walk', 'city centre', 'train', 'little far', 'town']","['location is a bit far from the city center but the transport around is very convenient bus stop and metro station', 'location is a bit far from city center', 'a bit far for city center and metro station']"
16,395,16_check_ready_room ready_late check,"['check', 'ready', 'room ready', 'late check', 'late', 'early check', 'check time', 'early', '3pm', 'time', 'wait', 'hour', 'check check', 'long', 'hours']","['no late check out possible even for 1 hour', 'check in and check out were extemely slow with no fast check out', 'room was not ready for 2 hrs after check in time']"
17,359,17_air_noisy_air conditioning_conditioning,"['air', 'noisy', 'air conditioning', 'conditioning', 'noise', 'noisy air', 'unit', 'sleep', 'loud', 'window', 'heating', 'ac', 'hot', 'room noisy', 'night']","['air conditioning is a little bit noisy', 'a little bit too noisy air conditioning', 'noisy air conditioning heating unit']"
18,343,18_pillows_pillow_soft_pillows soft,"['pillows', 'pillow', 'soft', 'pillows soft', 'hard', 'pillows hard', 'flat', 'feather', 'neck', 'pillows bit', 'uncomfortable', 'pillows uncomfortable', 'pillows room', 'sleep', 'soft pillows']","['the pillows were horendous had to pay for a proper pillow', 'pillows were too think we requested later thinner pillows and they provided us', 'the only thing i found was the pillows were not good for me to soft']"
19,322,19_smoking_smoke_smoking room_non smoking,"['smoking', 'smoke', 'smoking room', 'non smoking', 'cigarette', 'smell', 'non', 'cigarette smoke', 'cigarettes', 'smelt', 'smelled', 'room smelt', 'room smelled', 'smell smoke', 'smoke room']","['the non smoking room smelt as if someone had been smoking in there recently', 'the room was not clean smell of smoke in a non smoking room', 'persistent smoking smell in a non smoking room']"
20,311,20_small_room small_size_room little,"['small', 'room small', 'size', 'room little', 'single room', 'smaller', 'single', 'bigger', 'little small', 'room', 'bit small', 'size room', 'shoe', 'little', 'larger']","['nothing really apart from the room was a little small but i am not criticising', 'the size of the room is very small never seen such a tiny room', 'we found the size of the room a little on the small side']"
21,310,21_breakfast_breakfast staff_staff_table,"['breakfast', 'breakfast staff', 'staff', 'table', 'staff breakfast', 'tables', 'queue', 'breakfast service', 'food', 'waiting', 'wait', 'table breakfast', 'queue breakfast', 'service', 'wait table']","['nothing though it did occur to me that the breakfast staff could have been a little more animated without being chatty or over friendly at that time in the morning', 'the breakfast staff on level 3 were not very friendly', 'breakfast staff at breakfast not welcoming']"
22,308,22_staff_helpful_friendly_rude,"['staff', 'helpful', 'friendly', 'rude', 'staff friendly', 'staff helpful', 'staff rude', 'attitude', 'member', 'staff bit', 'welcoming', 'member staff', 'service', 'customer', 'staff staff']","['staff were not friendly and helpful as expected from such facility', 'staff helpful adhd friendly great lo', 'during the stay one member of staff not very helpful']"
23,305,23_towels_towel_bath towels_bath,"['towels', 'towel', 'bath towels', 'bath', 'hooks', 'hang', 'towels bathroom', 'hand towels', 'changed', 'bath towel', 'hang towels', 'clean', 'hand', 'bathroom', 'towels clean']","['towels were not to the quality i would have expected', 'there was towels only for one person upon arrival', 'there were four adults staying in the hotel and only 2 bath towels 2 hand towels if we all wanted showers we wouldn t have enough towels']"
24,298,24_noise_noisy_hotel_street,"['noise', 'noisy', 'hotel', 'street', 'construction', 'loud', 'night', 'hotel noisy', 'sleep', 'quiet', 'traffic', 'road', 'fault', 'outside', 'rooms']","['street noise and partying people loud from evening to early morning if you are a light sleeper i would not recommend this hotel', 'it was very noisy with outdoor noise and noise within the hotel', 'the one issue that spoiled our stay was the excessive road traffic noise on hendon way my wife was unable to sleep at all on saturday night and unfortunately our room 209 was located at the front of the hotel directly overlooking the busy road i don t think the skylight window had double glazed sound proofing and as we were only staying for one night we decided not to request a room change i also requested a quiet room away from traffic noise when i made the initial on line booking but that seems to have been overlooked']"
25,298,25_breakfast_fruit_variety_fresh,"['breakfast', 'fruit', 'variety', 'fresh', 'selection', 'juice', 'choice', 'breakfast good', 'fruits', 'fresh fruit', 'orange', 'breakfast bit', 'good', 'orange juice', 'food']","['breakfast variety could have been better with more fruits and fresh vegetable', 'some fruit yoghurts at breakfast would have been good', 'the breakfast was faily poor in fresh fruit']"
26,292,26_carpet_carpets_dirty_stained,"['carpet', 'carpets', 'dirty', 'stained', 'carpet room', 'worn', 'old', 'stains', 'needs', 'dirty carpet', 'furniture', 'clean', 'bedroom', 'paint', 'carpets room']","['the rooms carpet could have been cleaner there were a few stains on the carpet which were quite large and looked as though they had been tried to be covered with the table', 'room is very small carpet on the floor since i am alergic', 'bedroom carpet could have had a better clean as some bits still on carpet']"
27,276,27_bathroom_bathroom small_small_toilet,"['bathroom', 'bathroom small', 'small', 'toilet', 'small bathroom', 'sink', 'size', 'room bathroom', 'space', 'room small', 'bathroom little', 'cramped', 'tiny', 'shelf', 'room']","['the room in particular the bathroom is small it was ok but if i had to complain about one thing it would be the small bathroom', 'the bathroom was very small in our room however there was more bathroom space in our children s room', 'size of toilet need to redesign the whole bathroom']"
28,273,28_noise_street_noisy_traffic,"['noise', 'street', 'noisy', 'traffic', 'road', 'noise street', 'street noise', 'windows', 'traffic noise', 'noisy night', 'bit noisy', 'glazed', 'night', 'noise night', 'little noisy']","['traffic noise from street disturbed my sleep', 'road traffic noise at night is annoying even though the hotel is on a street which is not too busy the road noise is bothersome at night if you get a room facing the road i switched to a garden view room and road noise was not an issue there', 'a lot of street noise at night from the hostel across the street']"
29,271,29_privacy_glass_door_bathroom,"['privacy', 'glass', 'door', 'bathroom', 'bathroom door', 'toilet', 'glass door', 'doors', 'sliding', 'door bathroom', 'shower', 'privacy bathroom', 'frosted', 'transparent', 'close']","['the bathroom door is a glass door it is very beautiful but we missed the privacy', 'bathroom door wall was glass so it meant basicly no privacy on the bathroom', 'no lock on bathroom door didn t like the glass door']"
30,270,30_breakfast_hotel breakfast_hotel_expensive,"['breakfast', 'hotel breakfast', 'hotel', 'expensive', 'star', 'breakfast hotel', 'breakfast expensive', 'star hotel', 'euro', 'good', 'better', 'quality', 'price', 'cost', 'hotels']","['the landings smelt a little like nursing homes but once in the room it was spot on the lift felt a little juddery slow but i don t like lifts so am not the best person to pass judgement it s a pity you don t appear to be able to access the hotel from the rear car park which would make life a little easier not to mention safer for ladies who may be travelling alone because having to walk around from the side road to the front of the hotel whilst not far could be a little concerning late at night my main gripe has to be saved for the cost of the breakfast because 12 95 for a buffet breakfast i can t help thinking this to be a little outrageous for that sort of money i expect a freshly cooked breakfast especially when you can literally go around the corner and find a cafe which charges less than 5 00 for a cooked breakfast albeit not eat as much as you like but whilst i m no cheapskate when you have three breakfasts to pay for 12 95 each soon adds up to be ridiculous even if breakfast is the most important meal of the day three breakfasts with a pint of fresh orange juice coffees for less than 18 00 as opposed to paying 38 85 is a no brainer i honestly believe if the hotel were to charge between 7 95 and 9 95 they d see more footfall through their restaurant for breakfast and surely when you re serving from a buffet the more you can get in the better', 'breakfast is really poor for a 4 stars hotel there are no choices only basics it is similar to a 2 star hotel breakfast', 'do not select the room with breakfast this is the most disappointed choice that i ve ever made during this trip the breakfast is soooooo sad i saw comments that the hotel manager made saying that they already improved their breakfast i was hopping that when we arrived the hotel will at least have some improvement because of all these complains but the breakfast is incredible over priced it is totally a ripped off for 25 euro per person you get five kind of bread 3 of them are toast with different oatmeal taste pretty much the same and juice that poured from boxed juice that you can easily get everywhere the mix fruits is the same every day you can t tell them apart from canned fruit they are cubes and watery there s not even any hot stuff if you want egg that s an addition 9euro which is a joke to me a heavily carb based unbalanced breakfast for 4 of us for 4 days is 400 euro this is ridiculous you can easily get a lovely meal at a fancy restaurant for this price the service is also quiet miserable i saw the waitress pouring juice from boxes and get coffee from automatic coffee machine there s not much to do really but you still get your hot drinks over 10 minutes of waiting and one day the table next ours got their hot chocolate thick like jam even they are already waited for a long time they have to send it back and wait again the breakfast is not making any sense for me i m willing to pay for the price but at least serve me something that s acceptable and please improve the service i booked two rooms with two twin beds since we are a family of four it was pretty clear written on the booking information some how they left only one room with twin bed it takes quiet a long time to check us in it was probably the longest time that i waited for since the hotel only have about less than 50 rooms because of the bed situation the staff tried to make it up by upgrading us to larger rooms']"
31,257,31_fridge_fridge room_small fridge_mini,"['fridge', 'fridge room', 'small fridge', 'mini', 'ice', 'refrigerator', 'mini fridge', 'bar fridge', 'drinks', 'room fridge', 'machine', 'mini bar', 'refrigerator room', 'water', 'fridge working']","['a fridge in the room is recommended bed sags in the middle', 'the mini fridge in the room is not like a normal fridge so it won t work if you have food drinks to keep cold', 'a mini bar fridge in the room would have been useful']"
32,240,32_expensive_price_london_prices,"['expensive', 'price', 'london', 'prices', 'guess', 'value', 'cheaper', 'little expensive', 'high', 'pricey', 'bit expensive', 'value money', 'expensive london', 'worth', 'money']","['it is a little bit expensive but well it s london', 'a little expensive for what you get but its london i guess', 'nothing a bit expensive but it is london i guess']"
33,234,33_think_thing_didn like_fault,"['think', 'thing', 'didn like', 'fault', 'perfect', 'like', 'longer', 'say', 'negative', 'stay', 'really', 'stayed', 'did like', 'didnt like', 'loved']","['there was absolutely nothing i didn t like about jaz it was perfect', 'only thing i didn t like was the fact we could only stay for one night', 'nothing really cant think of a single thing i didn t like']"
34,228,34_gym_fitness_equipment_gym small,"['gym', 'fitness', 'equipment', 'gym small', 'fitness room', 'fitness center', 'machines', 'workout', 'use', 'use gym', 'fitness centre', 'facilities', 'gym facilities', 'small gym', 'spa']","['the gym facility is not good enough', 'there is no gym at the hotel they have passes for a near by gym however it was very cold january and it was a hassle to walk to the gym', 'nothing really although gym was poor a few pieces of equipment not really a gym apart from that very goo hotel']"
35,226,35_smell_perfume_smell room_smelled,"['smell', 'perfume', 'smell room', 'smelled', 'bad smell', 'scent', 'smells', 'bad', 'odor', 'odour', 'musty', 'damp', 'unpleasant', 'room', 'strong']","['there was a lingering unpleasant smell throughout the whole establishment and curiously the worst was the sewage smell in the lift', 'the air freshner in bedroom very sickly smell', 'smell there were two rooms with the worst smell ever']"
36,206,36_drinks_bar_prices_drinks bar,"['drinks', 'bar', 'prices', 'drinks bar', 'wine', 'bar prices', 'service charge', 'expensive', 'bar expensive', 'charge', 'expensive drinks', 'bottle', 'glass', 'sky', 'drink']","['the price of the drinks in the bar the addition of the service charge on each order of table serviced drinks in the sky at not just once st the end', 'the drinks prices int he bar were very expensive', 'drinks in the bar were very expensive even for soft drinks']"
37,203,37_dusty_dust_cleaned_clean,"['dusty', 'dust', 'cleaned', 'clean', 'cleaning', 'glasses', 'dirty', 'room dusty', 'room cleaned', 'cleaner', 'cleanliness', 'dust room', 'left', 'room', 'clean room']","['i m not sure if it because of blossoming but it seemed that in my room which was on the 5 th floor had lot dust everywhere in the room even dusty balls', 'dusty room not cleaned as well as would expect', 'dust the room was very dusty there was dust on the lights side tables etc']"
38,199,38_taxi_airport_driver_shuttle,"['taxi', 'airport', 'driver', 'shuttle', 'taxis', 'taxi driver', 'cab', 'taxi airport', 'uber', 'book taxi', 'pick', 'asked', 'drivers', 'taxi hotel', 'hotel']","['we ordered a taxi the night before our departure for early the next morning on arriving at the reception in the morning the gents at the desk seemed flustered and only then called us a taxi the taxi was almost 10 minutes late when it arrived it was an unmarked car and seemed to have no meter for charge when we asked the driver how much it was to the station he said that they told him 30 which is 3 times the amount that our london based friend had said it would be to that station we were clearly unhappy at a late taxi which had been prebooked and then being ripped off by the unlicensed taxi that did pick us up after almost missing our train to the airport we were most unhappy with the staff at reception who seemed to be almost useless and we are unsure whether it was even a licensed taxi company definitely not a good note to leave it on and we would not return', 'taxi could have been booked for airport as requested', 'the staff recommended us to prebook transportation to the airport due to the fact that it could be hard to get a taxi the prebooked towncar was late while taxi after taxi past by']"
39,194,39_key_key card_keys_room key,"['key', 'key card', 'keys', 'room key', 'card', 'cards', 'key cards', 'work', 'times', 'keycard', 'door', 'door key', 'didn work', 'room keys', 'reception']","['you have to leave your key at the door when you go out prefer to keep my key', 'room key card system was not working properly', 'key card did not work well']"
40,189,40_booking_com_booking com_reservation,"['booking', 'com', 'booking com', 'reservation', 'booked', 'cancel', 'price', 'date', 'charged', 'bookings', 'booking booking', 'booked booking', 'book', 'cancelled', 'told']","['after 3 days stay i booked again for 4 days but when we arrived at the reception around 23h they told me they cannot find my booking i have no choice but book again at the reception the price is higher than which i booked via booking com and the next day morning the hotel told me they found the online booking i even didn t ask the hotel to reimburse me the price difference i just ask them to cancel one of the double booking but in the afternoon i still received an email from booking com saying that i didn t check in what a stupid booking system', 'after 3 days stay i booked again for 4 days but when we arrived at the reception around 23h they told me they cannot find my booking i have no choice but book again at the reception the price is higher than which i booked via booking com and the next morning the hotel told me they would cancel the previous booking because they find the online booking but in the afternoon i received an email from booking com saying that i didn t check in what a stupid booking system', 'booking com could have been better after this reservation we had trouble with 3 other reservations on our trip that we had to sort out with the owners no thanks to booking com i do not recommend using booking com at all']"
41,187,41_luggage_suitcases_suitcase_space,"['luggage', 'suitcases', 'suitcase', 'space', 'small', 'room small', 'luggage room', 'small room', 'open', 'hardly', 'open suitcase', 'place', 'room', 'bags', 'tiny']","['the size of the room was very small navigating around suitcases etc was not easy', 'the room was tiny hard to find a space to open my suitcase', 'the room was small not enough room to put suitcases down for two people']"
42,176,42_twin_double_beds_double bed,"['twin', 'double', 'beds', 'double bed', 'bed', 'booked', 'twin room', 'single', 'booked twin', 'single beds', 'twin beds', 'booked double', 'got', 'double room', 'booking']","['we booked for a room with a double bed they attached two single beds and made it look as a double bed', 'website asked us to choose twin beds or double bed despite us choosing a double bed we were given a twin room and could not be changed', 'i had booked a twin room for my mother and i on arrival quite late in the evening our twin room consisted of two single beds pushed together and made up as one double style bed i raised this with the receptionist on duty and asked if the beds could be separated which meant moving bedside tables lamps etc he looked in the room and abruptly told me that was a twin room he was not prepared to do anything about it as this was how twin rooms were in london and that i should look at the pictures on the website which displayed twin rooms as two single beds pushed together i informed him i had stayed in many twin rooms in london previously and this was not the case he again refused to do anything and left the room leaving us to try to separate then beds which was not possible due to the other bedroom furniture being secured in the way so i had to share the bed with my mum which was not what i had paid for or what we expected i checked the website and twin rooms are displayed as seperate beds i will not stay at this hotel again and if you want a twin room i would not stay at this hotel either']"
43,174,43_london_central london_small london_central,"['london', 'central london', 'small london', 'central', 'small', 'price', 'rooms', 'bit small', 'london hotels', 'rooms small', 'london rooms', 'guess', 'size', 'room', 'london price']","['room was a bit small but thats typical of central london', 'room is a little bit small but it is central london so it is understandable', 'not much small rooms but normal for central london']"
44,173,44_housekeeping_cleaning_cleaned_clean,"['housekeeping', 'cleaning', 'cleaned', 'clean', 'clean room', 'room cleaned', 'day', 'service', 'cleaning room', 'cleaning service', 'cleaners', 'days', 'came', 'room', 'left']","['cleaning housekeeping is not doing their job well they keep coming back as requested but still leave the place as it was before', 'the housekeeping was very lacking out of 4 nights we got turndown service once two days we returned to the room a 4 pm and the room had not been cleaned i made coffee in the room and the next day it was not replenished you rarely could call housekeeping and get anyone to answer messages were left with housekeeping but you did not get what you had asked for very disappointing', 'not so great housekeeping need to take a lesson from four seasons']"
45,172,45_paris_paris room_small_rooms,"['paris', 'paris room', 'small', 'rooms', 'paris hotels', 'small room', 'location', 'hotels', 'metro', 'great', 'area', 'typical', 'hotel', 'central', 'rooms small']","['room small but that s paris for you but everything else makes up for it', 'wish it was more inside paris can take a long time to go from there to the heart of paris', 'you need the metro to get to the center of paris']"
46,170,46_water_bottle_bottle water_complimentary,"['water', 'bottle', 'bottle water', 'complimentary', 'water room', 'bottles', 'bottled', 'bottled water', 'complimentary water', 'drinking', 'free', 'drinking water', 'small bottle', 'bottles water', 'water rooms']","['had to pay 2 75 for a bottle of water in room why not complimentary', 'no complimentary water in the room a 50cl bottle of water from the mini bar at 6 is excessive when it costs them 30 cents at most', 'free bottle of water in room the bottle water was very expensive to buy that was in room']"
47,167,47_double bed_double_beds_single beds,"['double bed', 'double', 'beds', 'single beds', 'singles', 'pushed', 'single', 'bed', 'singles pushed', 'bed singles', 'beds pushed', 'asked double', 'bed single', 'twin beds', 'twin']","['the double bed is two single beds together', 'we had 2 single beds pushed together instead of a double bed', 'the two single beds pushed to a double bed']"
48,166,48_shampoo_soap_gel_shower gel,"['shampoo', 'soap', 'gel', 'shower gel', 'conditioner', 'body', 'lotion', 'soap shampoo', 'shower', 'gel shampoo', 'toothbrush', 'body lotion', 'shampoo shower', 'hair', 'tooth']","['poor bath service utilities soap shampoo etc', 'lack of toiletries only had a soap and a conditioner bottle no showergel or shampoo', 'nothing not to like but just to let fellow long maned travellers know there was no hair conditioner i didn t bring any and there was only shampoo the complimentary soap shower gel shampoo and body lotion were nice though i have very sensitive skin and had no problems']"
49,166,49_shower_wet_bathroom floor_floor,"['shower', 'wet', 'bathroom floor', 'floor', 'water', 'bathroom', 'floor shower', 'flooded', 'water floor', 'shower door', 'shower water', 'shower curtain', 'wet shower', 'curtain', 'bathroom wet']","['the shower water leaked all over the bathroom floor', 'you can t take a shower without wetting the whole bathroom floor', 'shower has a tendency to wet the bathroom floor']"
50,166,50_tram_centre_city_trams,"['tram', 'centre', 'city', 'trams', 'city centre', 'far', 'center', 'tram station', 'stop', 'walk', 'location', 'ride', 'minutes', 'station', 'bit far']","['the location however the walk to the tram stop was very nice the woodland and the rabbits', '15 mins tram from city centre but tram was frequent and distance was acceptable', 'it s a bit far from the city centre about 20 minutes by tram but you have a tram station right in front of the hotel']"
51,165,51_bath_shower_tub_shower bath,"['bath', 'shower', 'tub', 'shower bath', 'bath shower', 'bath tub', 'bathtub', 'curtain', 'tub shower', 'shower shower', 'shower curtain', 'bath room', 'prefer', 'bathroom', 'walk shower']","['the fact that there was only a bath tub and not a shower', 'shower in bath walk in would be better', 'i should have asked about a shower that is not within a bath as i have difficulty climbing in a bath perhaps i will check that next time or maybe i should have been asked if a shower over the bath was okay']"
52,165,52_staff_rude_staff friendly_helpful,"['staff', 'rude', 'staff friendly', 'helpful', 'friendly', 'staff rude', 'cleaning', 'staff helpful', 'rude staff', 'unhelpful', 'room', 'rooms', 'room staff', 'unfriendly', 'dirty']","['reception staff are friendly and helpful but cleaning staff are not all surfaces in our room had dust for the entire stay we didn t complain waiting to see when it would be cleaned we even drew a line on the dust to be visible it was never cleaned and the cleaning staff were just rude whenever we would sleep in and put the do not disturb sign they would vacuum our threshold banging the vacuum cleaner onto our door for 20 mins just so that they finish all the cleaning at 10 am the handy smartphone they give is horrible it s slow works half the time and has a short battery life 2 3 hours or so with usage or attempt at usage to be accurate', 'staff were rude cheats were dirty when asked for fresh sheets the staff were unbelievably rude', 'rude staff not helpful very small rooms']"
53,162,53_buffet_breakfast buffet_buffet breakfast_breakfast,"['buffet', 'breakfast buffet', 'buffet breakfast', 'breakfast', 'food', 'hot', 'order', 'eggs', 'hot food', 'cooked', 'choice', 'selection', 'breakfast expensive', 'food breakfast', 'limited']","['you could have included some hot dishes on the breakfast buffet', 'breakfast buffet was a bit on the small side', 'the breakfast buffet could have been a bit more comprehensive']"
54,158,54_toilet_bathroom_dirty_mould,"['toilet', 'bathroom', 'dirty', 'mould', 'clean', 'cleaned', 'tiles', 'mold', 'sink', 'stains', 'black', 'bath', 'shower', 'basin', 'toilets']","['i think the managers should really pay much more attention to cleanliness the ventilator in the bathroom hasn t been cleaned for ages the bath s drain was blocked by hair there are mold stains on the tiles', 'bathroom tired black mould on tiles', 'bathroom could have been a little cleaner mould on tiles and around bath seal']"
55,157,55_amsterdam_centre_central_city,"['amsterdam', 'centre', 'central', 'city', 'tram', 'mouse', 'location', 'walk', 'far', 'station', 'ride', 'center', 'expensive', 'train', 'minute']","['far away from amsterdam city center', 'the hotel needs to be renowed as many of the hotels in central amsterdam', 'the location located in another station 5 mins from the amsterdam central not hard to get to but if only it was in the centre']"
56,155,56_spa_massage_use spa_spa facilities,"['spa', 'massage', 'use spa', 'spa facilities', 'spa area', 'facilities', 'treatments', 'use', 'relaxing', 'spa facility', 'treatment', 'hotel spa', 'facility', 'access', 'lovely']","['the segregated male female spa area also slightly smelly spa steam rooms the spa could be much better', 'kids everywhere in the spa every day even if it was not allowed during certain hours spa not relaxing', 'the very heavy perfumed bodylotion soap and shampoo in the bathroom it was much more delicate in the spa though and more discrete was surprised so many guests in the spa had their smartphones in the spa photographing and making selfies over and over again that was odd and nothing i expected to see in a delicate spa had nothing to do with the spa facilities which was very nice though a bit disappointed about the hamam looked forward to try it but there wasn t any staff there maybe because of the time we visit the spa friday evening 18 30']"
57,151,57_hot_water_shower_water shower,"['hot', 'water', 'shower', 'water shower', 'temperature', 'hot water', 'cold', 'hot cold', 'warm', 'water temperature', 'shower hot', 'temperature shower', 'shower temperature', 'water hot', 'cold water']","['lack of hot water in the shower always going cold', 'water temperature was not consistent for the shower hot cold', 'the water in the shower was slow and not hot']"
58,149,58_walls_hear_walls hear_neighbours,"['walls', 'hear', 'walls hear', 'neighbours', 'door', 'neighbors', 'hear people', 'room walls', 'walls bit', 'talking', 'paper', 'neighbour', 'hear room', 'snoring', 'people']","['thin walls could hear everything outside the room', 'the walls are too thin so you could hear everyone walking up and down the corridor', 'thin walls so you could hear the person next door']"
59,146,59_reception_reception staff_friendly_staff reception,"['reception', 'reception staff', 'friendly', 'staff reception', 'staff', 'rude', 'staff friendly', 'helpful', 'reception friendly', 'girl', 'unfriendly', 'smile', 'girl reception', 'man', 'welcoming']","['the reception staff were not very helpful and often rude', 'reception staff not that friendly but this was not a problem', 'not all the reception staff were friendly although most were']"
