Topic,Count,Name,Representation,Representative_Docs
37,234,37_hotel_bathroom_room_rooms,"['hotel', 'bathroom', 'room', 'rooms', 'shower', 'modern', 'really', 'hotels', 'designed', 'comfortable', 'like', 'loved', 'small', 'spacious', 'stay']","['this modern ber cool hotel is not my normal style but i loved it it s as far from the classical luxury hotel as you can get yet every tiny detail has been carefully and lovingly worked out the wifi is astonishingly fast c 100mb download and upload at 8 30am the roof top bar views are heart stopping the d cor is brilliantly original yet tastefully short of being over the top the floating lamps in the atrium and ethereal video game lift elevator announcements just made me laugh out loud with delight yet this is a great value hotel in an amazing location with the one of the best views in london for around 200 a night is excellent i ve stayed in some really miserable places for that rate the cost cutting is extremely sophisticated in its implementation the small rooms are built with standard plastic modules and yet feel comfortable and high design with huge comfortable beds big tv screens and total room control from an ipad mini in the shower lavatory module the shower is outstanding with intuitive controls that don t require an engineering degree to figure out i really didn t care that the bars great music btw are only counter service because the bar staff were so good and the view well i already gushed about that staff are not too cool to be charming even to an old fart like me the restaurant is self service with a limited but tasty and creative menu it calls itself a canteen and that s what it is but that feels right from my experience this is by far the best 200 hotel in london i m curious to try some of the others in the chain the ambience made me feel about 20 years younger too', 'i loved the service at this boutique modern hotel the style and ambiance they create for their guests not only in the lobby but in the rooms are outstanding i stayed at this hotel for 16 nights in march 2017 i even booked a day trip for a tour through the front desk team which i liked i enjoyed being treated well with a bottle of wine on ice in my room and the smart tv that was personalized with my name on it welcoming me to the hotel the interface of the smart tv was very easy to use and navigate through including a welcome letter for me on the screen explaining all about the property and wifi password they even had a handwritten card welcoming me to the hotel sitting at the desk in my room the bathroom had the amenities and extras i used and enjoyed throughout my stay the kitchenette was lovely i loved making a cup of nespresso every morning and because there was a tesco right next door i would often keep a few drinks or snacks in the fridge as well due to my long stay every morning i set out to leave the hotel or when i returned the staff would wish me a great day out and then welcome me back at night i slept like a baby in a very quiet room on the second floor even though the hotel is located in the middle of a very busy soho spot this is what i loved you could be out having fun at a pub one minute with hundreds of others making noises throughout the evening and next minute i would be in solitude in my room i have stayed at other 5 star hotels and am surprised this place is only a 4 star i have to say i enjoyed nadler soho more than the 5 star i stayed at last time while in london which i won t mention here i definitely recommend this hotel to any young and old person who enjoys staying in the center of a bustling international city which is no more than 5 to 10 minute walk to mayfair oxford st shopping regent street trafalgar square stage shows british museum and so much more', 'this is one of those very special hotels that makes you feel so at home so comfortable and well taken care of that you actually think about planning another visit to the city just so you can stay here again although they have just 18 rooms this hotel doesn t feel cramped or small the high ceilings and huge windows make it seem like a much larger space yet with a sense of calm and intimacy that will sooth any weary traveller they even have a small rooftop pool don t expect much it s tiny but hey you re in the city in an historic building a bar at the top with gorgeous views and a spa with massage and facial services the hotel is located in an old historic building and rooms have beautiful hardwood floors and the original ceiling beams and details but the hotel is just four years old so everything was refurbished and renovated and very clean and luxurious the bathrooms are wonderful double sinks great lighting a detail so important and yet so often overlooked in hotels a full bathtub and a full separate shower stall commode with its own full door so more than one person can use the bathroom at the same time molton brown toiletries huge thick and soft monogrammed towels and a heated towel rack in the room the beds are terrific and they even have a pillow menu so you can choose the sort of pillow you want and a room scent menu as well drinks in the minibar are all complimentary so you can refresh yourself without spending a fortune and a sign of the exceptional service was shown when i left the room and came back in the evening to find that the exact same drinks i had consumed that afternoon has been restocked the hotel has an excellent location right off the las ramblas pedestrian mall and just steps away and overlooking the beautiful and popular pla a reial i just wish that more hotels would be like the do and offer such fantastic facilities and service']"
38,224,38_transport_walking_public_public transport,"['transport', 'walking', 'public', 'public transport', 'walking distance', 'distance', 'location easy', 'easy', 'city', 'attractions', 'location', 'central', 'location walking', 'central location', 'distance location']","['central location close to public transport', 'excellent location and easy access to public transport', 'central location easy access to public transport']"
39,222,39_comfortable bed_bed_staff comfortable_comfy bed,"['comfortable bed', 'bed', 'staff comfortable', 'comfy bed', 'comfy', 'bed friendly', 'beds', 'comfortable', 'friendly staff', 'staff great', 'helpful staff', 'comfy beds', 'staff', 'great location', 'friendly']","['outstandingly friendly and helpful staff comfortable bed great location', 'the location and the very friendly staff and a very comfortable bed', 'excellent location friendly staff and comfortable bed']"
40,222,40_buffet_breakfast buffet_buffet breakfast_breakfast,"['buffet', 'breakfast buffet', 'buffet breakfast', 'breakfast', 'buffet good', 'good buffet', 'buffet excellent', 'excellent buffet', 'good breakfast', 'good', 'buffet great', 'excellent', 'buffet staff', 'dinner', 'choice']","['excellent breakfast buffet with helpful staff', 'friendly staff very good breakfast buffet', 'good location very good breakfast buffet']"
41,220,41_breakfast_breakfast good_room_breakfast great,"['breakfast', 'breakfast good', 'room', 'breakfast great', 'clean breakfast', 'breakfast excellent', 'room breakfast', 'room spacious', 'choice', 'spacious', 'good', 'good room', 'clean', 'room nice', 'nice']","['the room was great location was good breakfast was excellent', 'the room was nice comfortable and clean breakfast was good too', 'the breakfast room and the breakfast were both great i loved the room and the good air conditioning the balcony and view were great']"
42,215,42_helpful breakfast_breakfast_breakfast excellent_breakfast staff,"['helpful breakfast', 'breakfast', 'breakfast excellent', 'breakfast staff', 'staff', 'breakfast good', 'helpful', 'staff breakfast', 'friendly breakfast', 'good staff', 'excellent staff', 'staff helpful', 'choice', 'breakfasts', 'friendly']","['the staff were very friendly and helpful and the breakfast was very nice', 'staff were extremely helpful and the breakfast is very good', 'the staff were very friendly and helpful breakfast was good']"
43,212,43_hotel_nice hotel_hotel good_price,"['hotel', 'nice hotel', 'hotel good', 'price', 'value', 'location', 'hotel nice', 'good hotel', 'money', 'value money', 'location hotel', 'hotel great', 'nice', 'hotel location', 'good']","['good hotel in excellent location and good price', 'nice hotel with great value for money in an excellent location', 'good price nice hotel good location']"
44,210,44_breakfast_good breakfast_excellent breakfast_breakfast friendly,"['breakfast', 'good breakfast', 'excellent breakfast', 'breakfast friendly', 'breakfast staff', 'breakfast good', 'staff', 'helpful', 'breakfast helpful', 'helpful staff', 'friendly', 'staff good', 'friendly staff', 'breakfast excellent', 'friendly helpful']","['very friendly and helpful staff very good breakfast', 'friendly helpful staff good breakfast', 'friendly and helpful staff good breakfast']"
45,210,45_eiffel_eiffel tower_tower_view eiffel,"['eiffel', 'eiffel tower', 'tower', 'view eiffel', 'view', 'walk eiffel', 'metro', 'balcony', 'walk', 'paris', 'distance', 'walking', 'minutes', 'close', 'walking distance']","['close to eiffel tower comfortable bed', 'close to the eiffel tower clean room nice view to the eiffel tower', 'near eiffel tower and bir hakim metro']"
46,208,46_desk_desk staff_staff desk_helpful desk,"['desk', 'desk staff', 'staff desk', 'helpful desk', 'helpful', 'desk helpful', 'staff', 'nice desk', 'excellent desk', 'location desk', 'concierge', 'desk extremely', 'desk excellent', 'extremely helpful', 'especially']","['the front desk staff was extremely helpful', 'front desk staff were very nice and attentive', 'the front desk staff were mostly excellent']"
47,207,47_pillows_bed_comfy_bed comfy,"['pillows', 'bed', 'comfy', 'bed comfy', 'sleep', 'bed really', 'bed comfortable', 'really comfy', 'slept', 'comfortable', 'sleep bed', 'nights sleep', 'extra comfy', 'comfy pillows', 'bed extremely']","['the bed was really comfy and i had a excellent nights sleep', 'pillows really good bed very comfy', 'bed was very comfy pillows absolutely were not']"
48,203,48_bed_breakfast_comfortable breakfast_comfy breakfast,"['bed', 'breakfast', 'comfortable breakfast', 'comfy breakfast', 'breakfast good', 'bed comfortable', 'comfy', 'beds', 'comfortable', 'bed comfy', 'good bed', 'breakfast excellent', 'good', 'beds comfy', 'bed really']","['the bed was comfortable and the breakfast was excellent staff were friendly and helpful', 'bed was very comfortable breakfast was very good staff were very helpful', 'the bed was comfortable and the breakfast was good value']"
49,195,49_parking_free parking_car_car parking,"['parking', 'free parking', 'car', 'car parking', 'parking location', 'free', 'good parking', 'secure', 'parking good', 'location parking', 'car park', 'parking place', 'garage', 'site', 'parking facilities']","['the design is kind of interesting and free parking', 'free parking and near metro station', 'odli an hotel za one koji dolaze svojim vozilom u be solidan doru ak parking']"
50,193,50_shower_bed_comfy_comfy bed,"['shower', 'bed', 'comfy', 'comfy bed', 'good shower', 'comfy shower', 'great shower', 'comfortable shower', 'bed shower', 'shower great', 'bed comfy', 'comfortable bed', 'shower really', 'powerful', 'shower room']","['very comfy bed nice shower great location', 'the bed was comfy and shower was really powerful', 'everything was special the bed the barh the shower']"
51,190,51_breakfast_staff friendly_helpful room_staff,"['breakfast', 'staff friendly', 'helpful room', 'staff', 'room', 'breakfast good', 'staff helpful', 'breakfast great', 'friendly room', 'friendly', 'breakfast excellent', 'friendly breakfast', 'clean breakfast', 'choice', 'breakfast staff']","['staff were very friendly and helpful room comfortable spacious and clean breakfast was lovely with a great choice', 'breakfast was very good staff was friendly rooms clean', 'room was excellent staff very friendly breakfast was amazing']"
52,185,52_bed_bed comfortable_comfy_size,"['bed', 'bed comfortable', 'comfy', 'size', 'comfortable room', 'comfortable', 'bed comfy', 'room', 'comfy room', 'size bed', 'room spacious', 'spacious', 'clean bed', 'bed really', 'clean']","['bed was comfy room was spacious and well kept', 'room was clean and a good size and bed was comfortable', 'the bed was very comfortable and the room was a good size spacious']"
53,184,53_clean hotel_clean_hotel clean_staff clean,"['clean hotel', 'clean', 'hotel clean', 'staff clean', 'hotel', 'location clean', 'hotel friendly', 'nice clean', 'friendly staff', 'staff', 'helpful staff', 'modern hotel', 'friendly', 'clean modern', 'cleanliness']","['helpful staff very good location clean hotel', 'very clean hotel friendly helpful staff great location', 'great location friendly staff and a very clean hotel']"
54,180,54_hyde park_hyde_park_close hyde,"['hyde park', 'hyde', 'park', 'close hyde', 'near hyde', 'tube', 'gate', 'lancaster', 'lancaster gate', 'stations', 'location hyde', 'tube stations', 'close', 'park location', 'park staff']","['proximity to greater london hyde park and services', 'location excellent for concert at hyde park', 'near to oxforf street hyde park']"
55,176,55_roof_rooftop_terrace_roof bar,"['roof', 'rooftop', 'terrace', 'roof bar', 'roof terrace', 'rooftop bar', 'bar', 'views', 'rooftop terrace', 'bar great', 'amazing', 'bar amazing', 'view', 'great', 'terrace amazing']","['great location very friendly staff amazing roof top bar', 'very friendly staff lovely roof top bar', 'very good location friendly staff good roof top bar']"
56,175,56_food_food excellent_restaurant_helpful food,"['food', 'food excellent', 'restaurant', 'helpful food', 'excellent food', 'excellent staff', 'food good', 'staff', 'helpful', 'excellent', 'staff food', 'staff helpful', 'friendly food', 'service', 'outstanding']","['food was excellent room very clean staff very friendly and helpful', 'location was excellent food was very good staff were friendly and very helpful', 'staff very friendly and helpful the food was excellent']"
57,175,57_bed_comfortable bed_bed good_breakfast,"['bed', 'comfortable bed', 'bed good', 'breakfast', 'good breakfast', 'comfy', 'comfy bed', 'breakfast comfy', 'excellent breakfast', 'comfortable', 'beds', 'breakfast comfortable', 'bed excellent', 'nice breakfast', 'choice']","['very good location comfortable bed good breakfast', 'comfy bed good breakfast and great location', 'clean room comfortable bed very good breakfast']"
58,174,58_cookies_cookie_arrival_cookie arrival,"['cookies', 'cookie', 'arrival', 'cookie arrival', 'cookies arrival', 'warm', 'warm cookies', 'warm cookie', 'touch', 'nice touch', 'arrival nice', 'welcome', 'chocolate', 'check', 'complimentary']","['nice receiving a warm cookie on our arrival', 'warm cookies on arrival good location', 'warm choc chip cookies on arrival']"
59,170,59_noise_quiet_noisy_hotel,"['noise', 'quiet', 'noisy', 'hotel', 'night', 'street', 'hotel quiet', 'construction', 'hear', 'quiet room', 'despite', 'rooms', 'outside', 'quiet street', 'quiet hotel']","['everything except the noise it s a pity that they were renovating the lounge during our visit', 'perfect location for central sigh seeing etc the hotel is located on a really quiet street you won t have any issues with noise or drunk people', 'the location of the hotel was great we asked for a quiet room and we had a very quiet room without any noise of the city centre despite the location in the lively part of the city centre']"
60,167,60_breakfast_breakfast good_helpful breakfast_staff friendly,"['breakfast', 'breakfast good', 'helpful breakfast', 'staff friendly', 'location staff', 'staff breakfast', 'friendly breakfast', 'location', 'staff', 'breakfast excellent', 'friendly', 'breakfast great', 'helpful location', 'good', 'helpful']","['staff were very friendly great breakfast very good location', 'the staff was very helpful the location was great breakfast was very good', 'location and staff were very friendly breakfast is very good too']"
61,162,61_breakfast_good breakfast_great breakfast_friendly staff,"['breakfast', 'good breakfast', 'great breakfast', 'friendly staff', 'breakfast friendly', 'clean', 'breakfast clean', 'helpful staff', 'friendly', 'excellent breakfast', 'staff', 'room friendly', 'clean room', 'staff clean', 'comfortable rooms']","['very comfortable room good breakfast friendly staff', 'very friendly staff clean room good breakfast', 'friendly staff great breakfast clean rooms']"
62,159,62_suite_junior_junior suite_upgraded,"['suite', 'junior', 'junior suite', 'upgraded', 'executive', 'upgrade', 'upgraded junior', 'executive room', 'free upgrade', 'room junior', 'upgraded suite', 'got', 'free', 'suite great', 'upgraded executive']","['very attentive staff excellent room junior suite', 'free upgrade to a nice junior suite tasty free welcome cocktail or other drink of your choice clean and comfy room suite', 'junior suite was excellent very friendly staff great location']"
63,152,63_london_bed_comfy_comfortable bed,"['london', 'bed', 'comfy', 'comfortable bed', 'beds', 'central london', 'comfortable', 'bed comfortable', 'bathroom', 'comfy bed', 'london room', 'london standards', 'view', 'room', 'spacious']","['such great value for central london and the room was clean and the bed was very comfortable', 'very comfortable bed good location in london', 'nice building and could not be more convenient bathroom better than similar london hotels we had a small room described as cosy adequate by london standards breakfast was good and good value i ve used many london hotels and this is good in this case we were booked to a theatre and restaurant across the street so location was very important']"
64,145,64_spa_spa facilities_massage_relaxing,"['spa', 'spa facilities', 'massage', 'relaxing', 'facilities', 'spa great', 'spa area', 'spa lovely', 'lovely', 'spa excellent', 'treatments', 'nice spa', 'hotel spa', 'spa amazing', 'food']","['lovely staff fabulous spa facilities', 'the spa was fantastic also the staff were very helpful', 'gorgeous spa facilities and great location']"
65,138,65_wembley_stadium_arena_outlet,"['wembley', 'stadium', 'arena', 'outlet', 'concert', 'sse', 'events', 'designer', 'park tube', 'park', 'tube', 'parking', 'gig', 'shopping', 'london']","['fantastic location for wembley stadium very comfortable', 'location next door to wembley arena and stadium and 5 minutes or so from wembley park tube', 'great location for wembley arena or stadium']"
66,136,66_breakfast_good breakfast_great breakfast_room good,"['breakfast', 'good breakfast', 'great breakfast', 'room good', 'nice breakfast', 'breakfast great', 'breakfast nice', 'breakfast good', 'good', 'good location', 'location comfortable', 'rooms', 'location', 'clean rooms', 'excellent location']","['good location clean rooms and nice breakfast', 'very good location comfortable room good breakfast', 'comfortable room good breakfast very good location']"
