Topic_ID,Label,Top_Words,Word_Probabilities,Document_Count
10,Topic 10,"door, hear, next, could, noise, not, wall, noisy, people, sound","[('door', np.float32(0.052611828)), ('hear', np.float32(0.042307187)), ('next', np.float32(0.032264706)), ('could', np.float32(0.029300317)), ('noise', np.float32(0.022706406)), ('not', np.float32(0.0212434)), ('wall', np.float32(0.021231871)), ('noisy', np.float32(0.020875528)), ('people', np.float32(0.020587541)), ('sound', np.float32(0.020570291)), ('corridor', np.float32(0.014688429)), ('floor', np.float32(0.01392807)), ('thin', np.float32(0.013921734)), ('sleep', np.float32(0.012516763)), ('morning', np.float32(0.012344813)), ('wake', np.float32(0.0110242395)), ('loud', np.float32(0.009552768)), ('every', np.float32(0.009385819)), ('guest', np.float32(0.00875823)), ('like', np.float32(0.008617324))]",2021
11,Topic 11,"small, view, tiny, not, book, upgrade, one, window, space, size","[('small', np.float32(0.043679122)), ('view', np.float32(0.0430834)), ('tiny', np.float32(0.020904325)), ('not', np.float32(0.01982889)), ('book', np.float32(0.018681021)), ('upgrade', np.float32(0.018597681)), ('one', np.float32(0.015521241)), ('window', np.float32(0.015346374)), ('space', np.float32(0.012740772)), ('size', np.float32(0.012608568)), ('suite', np.float32(0.012218648)), ('get', np.float32(0.012012764)), ('give', np.float32(0.011670218)), ('even', np.float32(0.011489821)), ('double', np.float32(0.010411976)), ('like', np.float32(0.01040006)), ('would', np.float32(0.010214684)), ('superior', np.float32(0.0095806485)), ('basement', np.float32(0.008687347)), ('much', np.float32(0.008164328))]",2357
12,Topic 12,"air, not, hot, work, cold, conditioning, warm, heating, turn, con","[('air', np.float32(0.070142455)), ('not', np.float32(0.05794754)), ('hot', np.float32(0.05664979)), ('work', np.float32(0.04616417)), ('cold', np.float32(0.03891534)), ('conditioning', np.float32(0.032889463)), ('warm', np.float32(0.02576077)), ('heating', np.float32(0.019692944)), ('turn', np.float32(0.018786037)), ('con', np.float32(0.018296625)), ('temperature', np.float32(0.017702825)), ('control', np.float32(0.015187807)), ('water', np.float32(0.014494907)), ('cool', np.float32(0.012786848)), ('fan', np.float32(0.012626719)), ('light', np.float32(0.01244681)), ('switch', np.float32(0.011732473)), ('could', np.float32(0.010222521)), ('heat', np.float32(0.009991416)), ('system', np.float32(0.009718517))]",2184
13,Topic 13,"staff, not, reception, desk, friendly, helpful, rude, one, ask, work","[('staff', np.float32(0.09447665)), ('not', np.float32(0.056279376)), ('reception', np.float32(0.037414856)), ('desk', np.float32(0.017756034)), ('friendly', np.float32(0.015814664)), ('helpful', np.float32(0.01548415)), ('rude', np.float32(0.014523828)), ('one', np.float32(0.014496195)), ('ask', np.float32(0.014283973)), ('work', np.float32(0.01401015)), ('front', np.float32(0.01331655)), ('help', np.float32(0.011873901)), ('check', np.float32(0.011399893)), ('get', np.float32(0.010194843)), ('time', np.float32(0.009836985)), ('service', np.float32(0.009184105)), ('could', np.float32(0.008170734)), ('seem', np.float32(0.0077094706)), ('problem', np.float32(0.0073842807)), ('give', np.float32(0.0071308766))]",3400
14,Topic 14,"window, noisy, open, noise, outside, street, not, sleep, building, work","[('window', np.float32(0.06247029)), ('noisy', np.float32(0.05296509)), ('open', np.float32(0.043769773)), ('noise', np.float32(0.043404613)), ('outside', np.float32(0.02669518)), ('street', np.float32(0.025306614)), ('not', np.float32(0.020409355)), ('sleep', np.float32(0.018177344)), ('building', np.float32(0.016237516)), ('work', np.float32(0.015313019)), ('morning', np.float32(0.015308104)), ('road', np.float32(0.014946606)), ('floor', np.float32(0.013575473)), ('loud', np.float32(0.013007255)), ('construction', np.float32(0.012203991)), ('close', np.float32(0.011587625)), ('due', np.float32(0.010526253)), ('early', np.float32(0.010146224)), ('traffic', np.float32(0.009213965)), ('quite', np.float32(0.008906465))]",2394
15,Topic 15,"bathroom, light, bed, pillow, not, like, door, could, dark, one","[('bathroom', np.float32(0.04011346)), ('light', np.float32(0.026864124)), ('bed', np.float32(0.0236837)), ('pillow', np.float32(0.023186613)), ('not', np.float32(0.014608378)), ('like', np.float32(0.01452544)), ('door', np.float32(0.013080984)), ('could', np.float32(0.012572508)), ('dark', np.float32(0.0121351555)), ('one', np.float32(0.01164344)), ('lighting', np.float32(0.010922454)), ('make', np.float32(0.010235559)), ('small', np.float32(0.010141429)), ('bit', np.float32(0.010066675)), ('toilet', np.float32(0.009989931)), ('well', np.float32(0.009906123)), ('bedroom', np.float32(0.009497337)), ('feel', np.float32(0.009280628)), ('separate', np.float32(0.00914932)), ('shower', np.float32(0.008547271))]",2145
16,Topic 16,"book, not, charge, service, breakfast, restaurant, com, price, menu, order","[('book', np.float32(0.05207968)), ('not', np.float32(0.046352796)), ('charge', np.float32(0.027937086)), ('service', np.float32(0.022869384)), ('breakfast', np.float32(0.02059983)), ('restaurant', np.float32(0.019872315)), ('com', np.float32(0.018854871)), ('price', np.float32(0.015059371)), ('menu', np.float32(0.01437951)), ('order', np.float32(0.014232316)), ('pay', np.float32(0.014095559)), ('include', np.float32(0.013085528)), ('extra', np.float32(0.012887713)), ('available', np.float32(0.01252853)), ('rate', np.float32(0.012431852)), ('offer', np.float32(0.010376469)), ('dinner', np.float32(0.009724219)), ('food', np.float32(0.009536293)), ('also', np.float32(0.0074891415)), ('say', np.float32(0.007018073))]",1616
17,Topic 17,"price, pool, not, small, pay, high, would, expect, spa, use","[('price', np.float32(0.05399871)), ('pool', np.float32(0.04229637)), ('not', np.float32(0.0387717)), ('small', np.float32(0.028730229)), ('pay', np.float32(0.027393304)), ('high', np.float32(0.020318251)), ('would', np.float32(0.01926556)), ('expect', np.float32(0.018179117)), ('spa', np.float32(0.018116016)), ('use', np.float32(0.01536829)), ('facility', np.float32(0.014222553)), ('area', np.float32(0.013848102)), ('gym', np.float32(0.012203736)), ('per', np.float32(0.010652105)), ('swimming', np.float32(0.010401936)), ('basic', np.float32(0.010096286)), ('really', np.float32(0.009852891)), ('much', np.float32(0.009544)), ('well', np.float32(0.009537649)), ('nice', np.float32(0.00938177))]",2388
18,Topic 18,"coffee, tea, water, facility, would, not, make, machine, cup, milk","[('coffee', np.float32(0.10194785)), ('tea', np.float32(0.0780527)), ('water', np.float32(0.04500136)), ('facility', np.float32(0.041504305)), ('would', np.float32(0.030071419)), ('not', np.float32(0.028807787)), ('make', np.float32(0.02568133)), ('machine', np.float32(0.02501177)), ('cup', np.float32(0.022776332)), ('milk', np.float32(0.020930354)), ('kettle', np.float32(0.020603154)), ('bottle', np.float32(0.018213766)), ('provide', np.float32(0.015863543)), ('fridge', np.float32(0.013588831)), ('one', np.float32(0.011923836)), ('complimentary', np.float32(0.011502821)), ('like', np.float32(0.0107074985)), ('nice', np.float32(0.009863646)), ('ask', np.float32(0.009230635)), ('could', np.float32(0.008726716))]",1476
19,Topic 19,"shower, bathroom, not, floor, water, bath, toilet, towel, lift, use","[('shower', np.float32(0.06985566)), ('bathroom', np.float32(0.036181524)), ('not', np.float32(0.031660825)), ('floor', np.float32(0.030109389)), ('water', np.float32(0.024631413)), ('bath', np.float32(0.024431862)), ('toilet', np.float32(0.018770574)), ('towel', np.float32(0.017897023)), ('lift', np.float32(0.016383575)), ('use', np.float32(0.013492351)), ('clean', np.float32(0.012883914)), ('one', np.float32(0.012616833)), ('get', np.float32(0.011030956)), ('stair', np.float32(0.010784943)), ('break', np.float32(0.009797786)), ('small', np.float32(0.009440107)), ('day', np.float32(0.009245816)), ('door', np.float32(0.009208544)), ('sink', np.float32(0.008614325)), ('work', np.float32(0.0085968245))]",3746
